Block    Distance          Distance          Distance          Distance          Rotaion
Name     One               Two               Three             Four              Importance
1box     0                 0                 0                 0                 1
1bub     0                 0                 0                 0                 1
1cap     0                 0                 0                 0                 1
1CAPA    0                 0                 0                 0                 0
1cee     0                 0                 0                 0                 1
1cond    0                 0.03984375        0.03984375        0.03984375        0
1CONU    0.03984375        0.03984375        0.03984375        0.03984375        0
1CONUS   0                 0                 0                 0                 0
1EMRGLIT 0                 0                 0                 0                 0
1exs     0                 0                 0                 0                 1
1fanoh   0                 0                 0                 0                 nil
1flamed  0                 0                 0                 0                 4
1flexcon 0.03125           0                 0                 0                 1
1flite   0                 0                 0                 0                 4
1fpole   0.1875            0.1875            0.1875            0.1875            nil
1gasd    0.14078802        0.14078802        0.14078802        0.14078802        nil
1GFCI    0                 0                 0                 0                 4
1GRMAIN  0                 0                 0                 0                 nil
1grnd    0.09375           0.09375           0.09375           0.09375           nil
1grndtw  0.09375           0.09375           0.09375           0.09375           nil
1GRTAP   0                 0                 0                 0                 nil
1gual    0.0875            0.0875            0                 0                 22
1gualsid 0.0875            0                 0                 0                 0
1guat    0.0875            0.0875            0                 0.0875            3
1guatsid 0.0875            0                 0.0875            0                 0
1guax    0.0875            0.0875            0.0875            0.0875            1
1horn    0                 0                 0                 0                 4
1hub     0.0625            0                 0                 0                 0
1ilitsid 0                 0                 0                 0                 nil
1instbox 0.0925            0.0925            0.0925            0.0925            nil
1jbox    0                 0                 0                 0                 4
1lbd     0                 0.05273438        0.05273438        0.05273438        0
1lbdl    0                 0                 0                 0                 22
1lbdr    0                 0                 0                 0                 24
1lbl     0                 0                 0                 0                 22
1lbr     0                 0                 0                 0                 24
1lbu     0.05273438        0.05273438        0.05273438        0.05273438        0
1LBUO    0.046875          0.046875          0.046875          0.046875          1
1lby     0                 0                 0                 0                 22
1liteoh  0.1875            0.1875            0.1875            0.1875            nil
1litewm  0                 0                 0                 0                 4
1litside 0                 0.08625           0                 0.08625           4
1motor   0                 0                 0                 0                 nil
1paclite 0                 0                 0                 0                 4
1phnjk   0                 0                 0                 0                 4
1plug230 0                 0                 0                 0                 4
1plugded 0                 0                 0                 0                 4
1re      0.9125            0                 0                 0                 4
1seal    0                 0                 0                 0                 0
1sealdr  0                 0                 0                 0                 0
1sidelit 0                 0                 0                 0                 4
1smoke   0.14078802        0.14078802        0.14078802        0.14078802        nil
1stanlit 0                 0                 0                 0                 4
1switch  0                 0                 0                 0                 4
1tee     0                 0                 0                 0                 3
1TEECOND 0                 0.052734375       0.052734375       0.052734375       3
1teed    0                 0                 0                 0                 1
1teeu    0.052734375       0.052734375       0.052734375       0.052734375       1
1TEEUO   0.046875          0.046875          0.046875          0.046875          1
1tempd   0.125             0.125             0.125             0.125             nil
1union   0.046875          0                 0.046875          0                 1
1weld    0                 0                 0                 0                 4
2away    0                 0                 0                 0                 1
2break   0                 0                 0                 0                 1
2cpsa    0                 0                 0                 0                 4
2cpsb    0                 0                 0                 0                 4
2cpsc    0                 0                 0                 0                 4
2cpsca   7.189872          0                 0                 0                 4
2cpscb   7.189872          0                 0                 0                 4
2cpscc   7.189872          0                 0                 0                 4
2teed    0                 0.052734375       0                 0.052734375       4
ANUNCIAT 0.132582521472    0.132582521472    0.132582521472    0.132582521472    nil
ARRHEAD  0                 0                 0                 0                 1
ARRHEAD  0.125             0                 0                 0                 4
AUTOXFMR 0.25              0.25              0.25              0.125             4
baseball 0                 0                 0                 0                 1
BATT02   0.187911469359    0                 0                 0                 6
BELL     0.327254248594    0                 0                 0                 5
BREAK    0                 0                 0                 0                 0
bubc     0                 0                 0                 0                 0
bubd     0                 0                 0                 0                 0
bube     0                 0                 0                 0                 0
bubf     0                 0                 0                 0                 0
bubg     0                 0                 0                 0                 0
bubh     0                 0                 0                 0                 0
BUZZER   0.21262023679     0                 0                 0                 5
ca       5.6625            0                 0                 0                 0
CAPACTR1 0.5625            0                 0                 0                 6
CAPACTR2 0.4375            0                 0                 0                 6
CAPACTR3 0.5625            0                 0                 0                 6
CAPACTR4 0.4375            0                 0                 0                 6
cb       6.28125           0                 0                 0                 0
CB03     0.5625            0                 0                 0                 6
CBRKR    0.5625            0                 0                 0                 6
cc       7.3125            0                 0                 0                 0
cd       8.5               0                 0                 0                 0
ce       10.375            0                 0                 0                 0
cf       12.25             0                 0                 0                 0
COIL01   0.125             0.125             0.125             0.125             nil
COIL02   0.1875            0.1875            0.1875            0.1875            nil
CONC     0.5625            0                 0                 0                 6
conmark  0.25              0.25              0.25              0.25              nil
CONNECTF 0                 0                 0                 0                 nil
CONNECTO 0.046875          0.046875          0.046875          0.046875          nil
CONO     0.5625            0                 0                 0                 6
CONTACTR 0.125             0                 0                 0                 6
contag   0.288675          0.25              0.288675          0.25              nil
CONT-NC1 0.25              0                 0.25              0                 5
CONT-NO1 0.25              0                 0.25              0                 5
COUPA    1.25              0                 0                 0                 0
COUPB    1.25              0                 0                 0                 0
COUPC    1.625             0                 0                 0                 0
COUPD    1.625             0                 0                 0                 0
COUPE    2                 0                 0                 0                 0
COUPF    2                 0                 0                 0                 0
COUPG    3.25              0                 0                 0                 0
COUPH    3.25              0                 0                 0                 0
COUPI    3.25              0                 0                 0                 0
COUPJ    3.25              0                 0                 0                 0
COUPK    3.5               0                 0                 0                 0
COUPL    4                 0                 0                 0                 0
cpsa     0                 0                 0                 0                 4
cpsb     0                 0                 0                 0                 4
cpsc     0                 0                 0                 0                 4
cpsca    7.189872          0                 0                 0                 4
cpscb    7.189872          0                 0                 0                 4
cpscc    7.189872          0                 0                 0                 4
cpscsida 7.189872          0                 0                 0                 4
cpscsidb 7.189872          0                 0                 0                 4
cpscsidc 7.189872          0                 0                 0                 4
cpssida  0                 0                 0                 0                 4
cpssidb  0                 0                 0                 0                 4
cpssidc  0                 0                 0                 0                 4
CPT01    0.125000000005    0                 0                 0                 6
crnclmpa 0                 0                 0                 0                 0
crnclmpb 0                 0                 0                 0                 0
crnclmpc 0                 0                 0                 0                 0
crnclmpd 0                 0                 0                 0                 0
crnclmpe 0                 0                 0                 0                 0
crnclmpf 0                 0                 0                 0                 0
CURRXFMR 0.25              0                 0                 0                 4
DEVAB    0.4375            0                 0                 0                 6
devab    0                 0                 0                 0                 0
DEVHOA   0.4375            0                 0                 0                 6
devhoa   0                 0                 0                 0                 0
devhoa   0.4375            0                 0                 0                 1
DEVMTR1  0.15625           0.15625           0.15625           0.15625           nil
DEVMTR2  0.15625           0.15625           0.15625           0.15625           nil
DEVMTR3  0.15625           0.15625           0.15625           0.15625           nil
DEVMTR4  0.11048543456     0.11048543456     0.11048543456     0.11048543456     nil
DEVMTR5  0.11048543456     0.11048543456     0.11048543456     0.11048543456     nil
DEVOO    0.4375            0                 0                 0                 6
DEVPLC   0.09375           0.09375           0.09375           0.09375           nil
DEVS     0.4375            0                 0                 0                 6
DEVSFS   0.4375            0                 0                 0                 6
DEVSS    0.4375            0                 0                 0                 6
DIODE01  0.1875            0                 0                 0                 4
DIODE02  0.1875            0                 0                 0                 4
DIODE03  0.1875            0                 0                 0                 4
DIODE04  0.1875            0                 0.1875            0                 4
DOT      0.03125           0.03125           0.03125           0.03125           nil
DUALXFMR 0.4375            0                 0.4375            0.062499999994    4
edsa     0                 0                 0                 0                 4
edsb     0                 0                 0                 0                 4
edsc     0                 0                 0                 0                 4
edsca    7.189872          0                 0                 0                 4
edscb    7.189872          0                 0                 0                 4
edscc    7.189872          0                 0                 0                 4
edscsida 7.189872          0                 0                 0                 4
edscsidb 7.189872          0                 0                 0                 4
edscsidc 7.189872          0                 0                 0                 4
edssida  0                 0                 0                 0                 4
edssidb  0                 0                 0                 0                 4
edssidc  0                 0                 0                 0                 4
efscs-sa 7.189872          0                 0                 0                 4
efscs-sb 7.189872          0                 0                 0                 4
efscs-sc 7.189872          0                 0                 0                 4
efscstpa 7.189872          0                 0                 0                 4
efscstpb 7.189872          0                 0                 0                 4
efscstpc 7.189872          0                 0                 0                 4
efss-sa  0                 0                 0                 0                 4
efss-sb  0                 0                 0                 0                 4
efss-sc  0                 0                 0                 0                 4
efsstpa  0                 0                 0                 0                 4
efsstpb  0                 0                 0                 0                 4
efsstpc  0                 0                 0                 0                 4
EQPCNTR  0.4375            0                 0                 0                 6
EQPWELD  0.25              0                 0                 0                 6
EYDLA    3.6875            0                 0                 0                 0
EYDLB    3.6875            0                 0                 0                 0
EYDLC    4.3125            0                 0                 0                 0
EYDLE    5.5               0                 0                 0                 0
EYDLF    6.25              0                 0                 0                 0
EYDLG    7.5               0                 0                 0                 0
EYDLH    8.5               0                 0                 0                 0
EYDLI    9.18              0                 0                 0                 0
EYDLJ    9.75              0                 0                 0                 0
eys29    2.9375            0                 0                 0                 0
eys29sid 2.9375            1.59375           0                 0                 22
eysa     3.6875            0                 0                 0                 0
eysb     3.6875            0                 0                 0                 0
eysc     4.3125            0                 0                 0                 0
EYSD     5.0625            0                 0                 0                 0
EYSE     5.5               0                 0                 0                 0
EYSF     6.25              0                 0                 0                 0
EYSG     7.5               0                 0                 0                 0
EYSH     8.5               0                 0                 0                 0
eyssida  3.6875            0                 0                 0                 0
eyssidb  3.6875            0                 0                 0                 0
FD03     0.5625            0                 0                 0                 6
FLNC     0.5625            0                 0                 0                 6
FLNO     0.5625            0                 0                 0                 6
ftnc     0.546875          0                 0                 0                 5
ftno     0.546875          0                 0                 0                 5
FULLRECT 0.65625           0.65625           0.65625           0.65625           nil
FUSE     0.5625            0                 0                 0                 6
FUSE02   0.28125           0                 0                 0                 6
FUSESW   0.5625            0                 0                 0                 6
GATETRST 0.25              0.484375          0.25              0.328125          4
GNDWELL  0.1248828125      0.1248828125      0.1248828125      0.1248828125      nil
GRND01   0.5               0                 0                 0                 4
GRND02   0.5               0                 0                 0                 4
gua-a    2.625             0                 0                 0                 0
gua-b    2.625             0                 0                 0                 0
guaba    3.75              0                 0                 0                 0
guabb    3.625             0                 0                 0                 0
guabc    3.6875            0                 0                 0                 0
guabd    4.15625           0                 0                 0                 0
guabe    5.53125           0                 0                 0                 0
guabf    5.25              0                 0                 0                 0
gua-c    2.75              0                 0                 0                 0
guaca    2.625             0                 2.625             0                 1
guacb    2.625             0                 2.625             0                 1
guacc    2.75              0                 2.75              0                 1
guacd    3.875             0                 3.875             0                 1
guace    3.9375            0                 3.9375            0                 1
guacf    3.9375            0                 3.9375            0                 1
gua-d    3.125             0                 0                 0                 0
guada    2.625             0                 2.625             0                 1
guadb    2.625             0                 2.625             0                 1
guadc    2.75              0                 2.75              0                 1
guadd    3.875             0                 3.875             0                 1
gua-e    3.9375            0                 0                 0                 0
guala    2.625             2.625             0                 0                 22
gualb    2.625             2.625             0                 0                 22
gualc    2.75              2.75              0                 0                 22
guald    3.875             3.875             0                 0                 22
guale    3.9375            3.9375            0                 0                 22
gualf    3.9375            3.9375            0                 0                 22
guama    2.625             2.625             0                 0                 22
guamb    2.625             2.625             0                 0                 22
guamd    3.125             3.125             0                 0                 22
guamf    3.9375            3.9375            0                 0                 22
guana    3.75              0                 0                 3.75              24
guanb    3.625             0                 0                 3.625             24
guanc    3.6875            0                 0                 3.6875            24
guand    4.15625           0                 0                 4.15625           24
guane    5.53125           0                 0                 5.53125           24
guanf    5.25              0                 0                 5.25              24
guata    2.625             2.625             0                 2.625             3
guatb    2.625             2.625             0                 2.625             3
guatc    2.75              2.75              0                 2.75              3
guatd    3.875             3.875             0                 3.875             3
guate    3.9375            3.9375            0                 3.9375            3
guatf    3.9375            3.9375            0                 3.9375            3
guawa    2.625             2.625             0                 2.625             3
guawb    2.625             2.625             0                 2.625             3
guaxa    2.625             2.625             2.625             2.625             1
guaxb    2.625             2.625             2.625             2.625             1
guaxc    2.75              2.75              2.75              2.75              1
guaxd    3.875             3.875             3.875             3.875             1
guaxe    3.9375            3.9375            3.9375            3.9375            1
guaxf    3.9375            3.9375            3.9375            3.9375            1
HEATELEM 0.25              0                 0                 0                 5
HEATER   0.5625            0                 0                 0                 6
hoasa    0                 0                 0                 0                 4
hoasb    0                 0                 0                 0                 4
hoasc    0                 0                 0                 0                 4
hoasca   7.189872          0                 0                 0                 4
hoascb   7.189872          0                 0                 0                 4
hoascc   7.189872          0                 0                 0                 4
HOASW    0.5625            0                 0                 0                 nil
HORN     0.21875           0                 0                 0                 5
huba     1.03190421        0                 0                 0                 0
hubb     1.16940421        0                 0                 0                 0
hubc     1.37571211        0                 0                 0                 0
hubd     1.54440421        0                 0                 0                 0
hube     1.66940421        0                 0                 0                 0
hubf     1.79440421        0                 0                 0                 0
hubg     2.23190421        0                 0                 0                 0
hubh     2.48190421        0                 0                 0                 0
icap     0                 0                 0                 0                 0
icap     0                 0                 0                 0                 0
iell     0.120425          0.120425          0                 0                 22
